===============================================================================================================================================================================================================================================================================================
| Métodos Ordenação 	| Arquivo Ordenado                                                               | Arquivo em Ordem Reverso                                                       | Arquivo Randômico                                                              |
===============================================================================================================================================================================================================================================================================================
	                    | Comp. Prog. * | Comp. Equa. # | Mov. Prog. + | Mov. Equa. - | Tempo            | Comp. Prog. * | Comp. Equa. # | Mov. Prog. + | Mov. Equa. - | Tempo            | Comp. Prog. * | Comp. Equa. # | Mov. Prog. + | Mov. Equa. - | Tempo        |
===============================================================================================================================================================================================================================================================================================
| Insertion Sort    	|         1,023 |        1,023 |        1,023 |        3,069 |                 1 |       524,799 |      262,399 |      524,799 |      264,445 |             1,389 |       263,297 |      262,399 |      263,297 |      262,911 |        4,136 |
| Bin Insertion Sort 	|        18,434 |        6,585 |        1,023 |        3,069 |                 7 |        17,430 |        6,585 |      524,799 |      264,445 |             5,925 |        16,926 |        6,585 |      263,770 |      262,911 |          542 |
| Selection Sort    	|       523,776 |      523,776 |        2,046 |        3,069 |             3,269 |       523,776 |      523,776 |        2,046 |      265,213 |               755 |       523,776 |      523,776 |        2,046 |        7,688 |        2,230 |
| Bubble Sort       	|         1,023 |      523,776 |            0 |            0 |                 1 |       523,776 |      523,776 |    1,047,552 |      785,664 |             4,290 |       523,775 |      523,776 |      524,548 |    1,571,328 |        1,954 |
| Shake Sort        	|         1,023 |      523,776 |            0 |            0 |                 1 |       523,265 |      523,776 |    1,045,508 |      785,664 |             3,768 |       401,740 |      523,776 |      524,470 |    1,571,328 |        7,628 |
| Counting Sort     	|         1,024 |            0 |        6,144 |            0 |                 9 |         1,024 |            0 |        6,146 |            0 |                 9 |         1,024 |            0 |        6,144 |            0 |           10 |
| Radix Sort        	|         4,096 |            0 |       16,448 |            0 |                29 |         4,096 |            0 |       16,448 |            0 |                26 |         4,096 |            0 |       16,448 |            0 |          991 |
| Heap Sort         	|       523,776 |            0 |       18,684 |            0 |             2,631 |       523,776 |            0 |       16,916 |            0 |             1,248 |       523,776 |            0 |       18,572 |            0 |          772 |
| Bucket Sort       	|             0 |            0 |        2,048 |            0 |                 7 |             0 |            0 |        2,048 |            0 |               234 |             0 |            0 |        2,048 |            0 |           87 |
| Shell Sort        	|         5,601 |            0 |        5,601 |            0 |                14 |        10,031 |            0 |       10,031 |            0 |                20 |        13,708 |            0 |       13,708 |            0 |           24 |
| Gnome Sort        	|         1,023 |            0 |            0 |            0 |                 1 |     1,048,575 |            0 |    1,047,552 |            0 |             5,446 |       525,571 |            0 |      524,548 |            0 |        4,865 |
| Comb Sort         	|        19,168 |            0 |            0 |            0 |                19 |        19,168 |            0 |        3,284 |            0 |                24 |        19,168 |            0 |        8,578 |            0 |           28 |
| Quick Sort s/p    	|       527,868 |            0 |            0 |            0 |             1,262 |       527,868 |            0 |        1,024 |            0 |               276 |        22,823 |            0 |        7,296 |            0 |           21 |
| Quick Sort c/p    	|         9,228 |            0 |        1,024 |            0 |                 6 |         9,238 |            0 |        2,048 |            0 |                 6 |        13,426 |            0 |        5,934 |            0 |           12 |
| Merge Sort 1      	|         9,217 |            0 |       20,480 |            0 |                46 |         9,217 |            0 |       20,480 |            0 |                43 |         8,943 |            0 |       20,480 |            0 |           40 |
| Merge Sort 2      	|         5,120 |            0 |       30,720 |            0 |                44 |         5,120 |            0 |       30,720 |            0 |                37 |         8,955 |            0 |       38,390 |            0 |           42 |
| Tim Sort          	|         3,552 |            0 |       16,352 |            0 |                24 |       511,456 |            0 |    1,031,168 |            0 |             2,210 |        71,776 |            0 |      152,798 |            0 |          156 |
